Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,35
J31124(fita jacard pol. Calandrada c/goma marca ramarim),,,06/03/2024,,,METRO,12mm,"0,98",,,,,,,,,,
J31144(fita tear jacard pol.cores c/desenho),,,13/9/2022,,,METRO,14mm,"1,04",,,,,,,,,,
M21131(Elást.tear acetinado/calandrado c/goma),,,17/2/2021,,,METRO,40mm,"7,28",,,,,,,,,,
M21131(elást.ter Reciclado acet./caland./c/goma),,,14/07/2021,,,METRO,40mm,"8,4",,,,,,,,,,
M21143(elást.tear pol.c/subilmação),,,19/2/2021,,,METRO,40mm,"5,75",,,,,,,,,,
M21134(elást.tear pol c/goma),,,08/03/2021,,,METRO,45mm,"8,18",,,,,,,,,,
M21168(elást.tear pol.c/goma tipo M.T.E),,,11/11/2022,,,METRO,35mm,"4,4",,,,,,,,,,
M21168(elást.tear pol.c/goma tipo M.T.E),,,01/12/2022,,(Desconto concedido dezembro/2022),METRO,35mm,"4,2",,,,,,,,,,
MR100.001(fita reciclado s/goma MFGP),,,14/07/2021,,,METRO,10mm,"0,64",,,,,,,,,,
MR100.001(fita reciclado s/goma MFGP),,,14/07/2021,,,METRO,12mm,"0,77",,,,,,,,,,
MR100.001(fita reciclado s/goma MFGP),,,14/07/2021,,,METRO,18mm,"1,15",,,,,,,,,,
MR100.001(fita reciclado s/goma MFGP),,,14/07/2021,,,METRO,20mm,"1,28",,,,,,,,,,
MR100.001(fita reciclado c/goma MFGP),,,14/07/2021,,,METRO,10mm,"0,83",,,,,,,,,,
MR100.001(fita reciclado c/goma MFGP),,,14/07/2021,,,METRO,12mm,"1,00",,,,,,,,,,
MR100.001(fita reciclado c/goma MFGP),,,14/07/2021,,,METRO,18mm,"1,49",,,,,,,,,,
MR100.001(fita reciclado c/goma MFGP),,,26/04/2021,,,METRO,20mm,"1,66",,,,,,,,,,
MR100.002(fita tear reciclado MFG),,,17/02/2021,,,METRO,5mm,"0,32",,,,,,,,,,
MR100.002(fita tear reciclado MFG),,,17/02/2021,,,METRO,7mm,"0,45",,,,,,,,,,
MR100.002(fita tear reciclado MFG),,,17/02/2021,,,METRO,10mm,"0,62",,,,,,,,,,
MR100.002(fita tear reciclado MFG),,,17/02/2021,,,METRO,12mm,"0,74",,,,,,,,,,
MR100.002(fita tear reciclado MFG),,,17/02/2021,,,METRO,15mm,"0,93",,,,,,,,,,
MR100.002(fita tear reciclado MFG),,,17/02/2021,,,METRO,18mm,"1,12",,,,,,,,,,
MR100.002(fita tear reciclado MFG),,,17/02/2021,,,METRO,20mm,"1,24",,,,,,,,,,
MR100.004(fita tear reciclado c/goma M41411),,,17/02/2021,,,METRO,10mm,"0,85",,,,,,,,,,
MR100.004(fita tear reciclado c/goma M41411),,,14/07/2021,,,METRO,16mm,"1,36",,,,,,,,,,
MR100.004(fita tear reciclado c/goma M41411),,,14/07/2021,,,METRO,18mm,"1,53",,,,,,,,,,
MR100.004(fita tear reciclado c/goma M41411),,,24/02/2021,,,METRO,20mm,"1,70",,,,,,,,,,
MR100.005(fita tear fio PET cores c/goma m4027),,,22/02/2022,,,METRO,10mm,"0,77",,,,,,,,,,
MR100.005(fita tear fio PET cores c/goma m4027),,,22/02/2022,,,METRO,16mm,"1,24",,,,,,,,,,
MR100.005(fita tear fio PET cores c/goma m4027),,,22/02/2022,,,METRO,17mm,"1,31",,,,,,,,,,
MR100.003(fita tear recicl.dupla face c/goma M41468),,,20/04/2021,,,METRO,16mm,"2,65",,,,,,,,,,
MR100.013(fita tear recil.dupla face c/goma M41468),,,02/08/2021,,,METRO,16mm,"1,75",,,,,,,,,,
MR100.013(fita tear recil.dupla face c/goma M41468),,,02/08/2021,,,METRO,20mm,"2,18",,,,,,,,,,
MR100.016(fita tear jacquard PET c/goma),,,13/08/2021,,,METRO,14mm,"1,39",,,,,,,,,,
