Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,,14,14,,7,18,20
M15041,(cad.tranç.48fus.pol.c/lurex),,15/06/2021,,,PAR,100cm,"1,1","1,22",,,,,,,,,,,,,,,
M15051,(cad.tranç.48f.pol.),,15/06/2021,,,PAR,100cm,"1,04","1,16",,,,,,,,,,,,,,,
M15061,(cad.tranç.48f.pol.),,15/06/2021,,,PAR,100cm,"1,12","1,24",,,,,,,,,,,,,,,
M15081,(cad.tranç.48 fu.pol. 2 cores),,18/11/2020,,,PAR,90cm,"0,94","1,04",,,,,,,,,,,,,,,
M16068,(cad.tranç.16fu.fio poliéster),,15/06/2021,,,PAR,100cm,"0,66","0,73",,,,,,,,,,,,,,,
M16068,(ref.LS 12014),,15/06/2021,,,PAR,100cm,"0,67","0,74",,,,,,,,,,,,,,,
M16162,(cad.tranç.17fusos fio pol. c/borda bicolor),,12/06/2025,,,PAR,100cm,"1,44","1,64",,,,,,,,,,,,,,,
M16182,(cad.tranç.16fu.fio poliéster c/lurex 3000/6),,15/06/2021,,,PAR,100cm,"1,42","1,58",,,,,,,,,,,,,,,
M16191,(cad.tranç.16fu.fio poliéster red.c/ench.),,02/05/2023,,,PAR,100cm,"1,02","1,14",,,,,,,,,,,,,,,
M16206,(cad.tranç.16fu.fio poliéster c/lurex red.4mm),,29/11/2021,,,PAR,100cm,"2,32","2,6",,,,,,,,,,,,,,,
M16214,(cad.tranç.17fu 2fios pol.p/espula ),,23/04/2026,,,PAR,100cm,"0,75","0,86","0,87",,,,,,,,,,,,,,
M16237,(Cad.tranç.17fu.6fios pol. p/espula 12mm larg.),,27/09/2024,,,PAR,100cm,"1,38","1,56",,,,,,,,,,,,,,,
M16244,(Cad.tranç.17fu.9fios pol.p/espula 15mm larg.),,02/10/2024,,,PAR,100cm,"1,7","1,93",,,,,,,,,,,,,,,
M16256,(cad.tranç.17fu.6fios pol.p/espula),,17/09/2025,,,PAR,100cm,"1,44","1,64",,,,,,,,,,,,,,,
M16261,(cad.tranç.17fu.3fios pol.p/espula 6mm largura),,26/06/2026,,,PAR,100cm,1,"1,15",,,,,,,,,,,,,,,
M2000/5,(cad.tranç.32f.2fios algodão 24/2 p/esp.cores),0,24/06/2026,,,metros,100,"1,98","2,26",0,0,0,,,,,,,,,,,,
M2041,(elast.tear pol.tub.canelado),,20/05/2021,,,PAR,100cm,"2,58","2,86",,,,,,,,,,,,,,,
M2047,(elást.c/trama pol.urdume lurex),,15/06/2021,,,METRO,7mm,"0,93","1,03",,,,,,,,,,,,,,,
M21123,(elást.tear pol.c/lurex),,25/01/2021,,,METRO,7mm,"0,79","0,87",,,,,,,,,,,,,,,
M21151,(elást.redondo tranç.16fu.16bor.38),,25/01/2021,,,METRO,40mm,"7,15","7,94",,,,,,,,,,,,,,,
M21154,(elást.redondo tranç.5mm),,20/05/2021,,,METRO,"2,5mm","1,07","1,19",,,,,,,,,,,,,,,
M21154,(desconto com matéria prima diferente) (elást.redondo tranç.5mm),,16/09/2021,,,METRO,5mm,"2,28","2,53",,,,,,,,,,,,,,,
M21162,(elást. Tear 16fios pol.8fios lurex 6bor.28),,24/10/2022,,,METRO,5mm,"1,42","1,58",,,,,,,,,,,,,,,
M21175,(elást.tear 12fios pol.+8lurex+6bor.28),,29/04/2025,,,METRO,7mm,"1,03","1,16",,,,,,,,,,,,,,,
M21176,(elást.tear 20fios pol.+8lurex+6bor.28),,28/06/2023,,,METRO,7mm,"1,08","1,2",,,,,,,,,,,,,,,
M21177,(elást.tranç.16fu.pol.c/lurex 5mm esp.),,03/07/2023,,,METRO,7mm,"1,12","1,25",,,,,,,,,,,,,,,
M21183,(elást.tear bicolor 24fios pol.7bor.28 LS16410,,03/07/2023,,,METRO,5mm,"1,84","2,04",,,,,,,,,,,,,,,
M21187,(elást.tear 20fios pol.6bor.28 c/frizo meio),,09/07/2024,,,METRO,8mm,"1,14","1,29",,,,,,,,,,,,,,,
M21202,(elást.tear fio poliéster c/detalhe borda),,17/10/2024,,,METRO,7mm,"1,1","1,24",,,,,,,,,,,,,,,
M2148,(elást.tear pol.canelado preço especial),,17/01/2024,,,METRO,120mm,"10,53","11,69",,,,,,,,,,,,,,,
M2148,(elást.tear pol.canelado preço especial),,25/01/2021,,,METRO,7mm,"1,63","1,81",,,,,,,,,,,,,,,
M2159,(elástico tear normal),,25/01/2021,,,METRO,25mm,"3,01","3,34",,,,,,,,,,,,,,,
M2194,(elást. Tear  bicolor),,03/05/2023,,,METRO,7mm,"0,8","0,89",,,,,,,,,,,,,,,
M22013,(cad. Tear pol.),,15/06/2021,,,PAR,100cm,"0,75","0,83",,,,,,,,,,,,,,,
M22024,"(cad.tear pol.tubolar 16,1bat.)",,22/10/2019,,,PAR,100cm,"0,53","0,59",,,,,,,,,,,,,,,
M22025,"(cad.tear Lurex irize/pol. 7,5mm larg)",,04/05/2022,,,PAR,100cm,"2,94","3,26",,,,,,,,,,,,,,,
M22026,(cad.tear pol. Tubular pontilhado 7mm),,26/04/2023,,,PAR,100cm,"0,75","0,84",,,,,,,,,,,,,,,
M22030,(cad.tear pol.tubular c/lurex),,27/04/2022,,,PAR,100cm,"1,02","1,14",,,,,,,,,,,,,,,
