Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,60/90,-3,-3
J31179,(Cad. Jacar 124fios POLIMP tub.c/ench. Multi cores OUS 7mm),,25/07/2025,,,PAR,100cm,"1,21",,,,,,,,,,,,
M41519 6MM,(Fita cadarço tear pol. Tubular s/ ench.bicolor),,01/07/2024,,,PAR,100cm,"1,49",,,,,,,,,,,,
M41519 8MM,(Fita cadarço tear pol. Tubular s/ ench.bicolor),,28/08/2023,,,PAR,100cm,"1,80",,,,,,,,,,,,
M6034,(cad.tranç.48f.fio 30/2 fiado pol. Puma),,06/04/2022,,,PAR,100cm,"1,63",,,,,,,,,,,,
M6034,(desconto p/março 2024) (cad.tranç.48f.fio 30/2 fiado pol. Puma),,06/03/2024,,(desconto p/março 2024),PAR,100cm,"1,48",,,,,,,,,,,,
M6061,(cad.tranc. 32fu.algodão encerado),,11/02/2021,,,PAR,100cm,"1,94",,,,,,,,,,,,
M6053,(cad.tranç.32fu.algodão encerado),,11/02/2021,,,PAR,100cm,"2,27",,,,,,,,,,,,
M6087 8MM,(cad.tranç.40fu.fio 30/2 cores 8mm),,06/04/2022,,,PAR,100cm,"1,30",,"1,26",,,,,,,,,,
M6095,(cad.tranç.48fu.fio 30/2 pol.engomado),,16/11/2021,,,PAR,100cm,"1,68",,"1,64",,,,,,,,,,
M8081 7MM,(cad.tear 58 fios 30/2 fiado pol.7mm),,01/02/2022,,,PAR,100cm,"1,48",,"1,44",,,,,,,,,,
M60113,(cad.tranç.48fu.fio 24/2 algodão tingido),,24/11/2022,,,PAR,100cm,"2,49",,,,,,,,,,,,
M60116,(cad.tranç.32fu.fio 30/2 bicolor),,31/03/2023,,,PAR,100cm,"1,69",,,,,,,,,,,,
M60124,(cad.tranç.48f. 3fios p/esp. 30/2 cores Mormaii),,14/10/2024,,,PAR,100cm,"1,92",,,,,,,,,,,,
M9043,"(cordão tranç.16fu.pol. 2,0mm)",,01/09/2022,,,METRO,,"0,39",,,,,,,,,,,,
M9074,(cordão tranç.16fu.pol.),,01/09/2022,,,METRO,,"0,49",,,,,,,,,,,,
3000/2-32,(cad.tranç.32fus.pol. Cores),,16/02/2023,,,PAR,100cm,"1,46",,"1,42",,,,,,,,,,
3000/2-32,(cad.tr.32f.pont.personaliz),,11/02/2021,,,PAR,100cm,,,"1,76",,,,,,,,,,
3000/2-32,(tranç.32f.redondo pol. p/mt,,11/02/2021,,,METRO,,"0,72",,"0,70",,,,,,,,,,
3000/6,(cad.tranç.32fu.redondo pol.c/enchim.bicolor),,24/04/2023,,,PAR,100cm,"1,18",,,,,,,,,,,,
4000/4 3.3,"(tranç,32fu.pol.)",,01/09/2022,,,PAR,100cm,"1,24",,"1,20",,,,,,,,,,
M13009,(cad.tranç.32fu.pol.redondo Personalizado),,10/11/2021,,,PAR,100cm,"1,58",,"1,54",,,,,,,,,,
M13009,(cad.tranç.32fu.pol.redondo pont.Lisa),,10/11/2021,,,PAR,100cm,"1,30",,"1,26",,,,,,,,,,
M13031,(cad.tranç.32fu.pol. Bicolor pontilhado),,12/07/2021,,,PAR,100cm,"1,26",,"1,22",,,,,,,,,,
M13031,(cad.tranç.32fu.pol.pont. Personalizada),,12/07/2021,,,PAR,100cm,"1,52",,"1,48",,,,,,,,,,
M13096,(cad.tranc.16fus.pol),,11/02/2021,,,PAR,100cm,"1,18",,"1,14",,,,,,,,,,
M13096,(cad.tr.16f.pont.personalizada),,11/02/2021,,,PAR,100cm,,,"1,48",,,,,,,,,,
M13119,(cad.tranç.32fus.pol),,01/08/2022,,,PAR,100cm,"1,06",,"1,03",,,,,,,,,,
M13466,(cad.tranç.32fu.pol. Bicolor),,24/02/2021,,,PAR,100cm,"1,30",,"1,26",,,,,,,,,,
M13473,(cad.tranç.32fu.pol. Bicolor),,07/07/2021,,,PAR,100cm,"1,06",,"1,03",,,,,,,,,,
M13477,(cad.tranç.32fu.pol.bicolor),,11/02/2021,,,PAR,100cm,"0,68",,"0,66",,,,,,,,,,
M13501,(cad.tranç.32fu. Pol.bicolor redondo),,18/08/2022,,,PAR,100cm,"1,6",,"1,55",,,,,,,,,,
M13501,(cad.tranç.32fu. Pol.bicolor redondo),,18/08/2022,,,PAR,100cm,"1,92",,"1,86",,,,,,,,,,
M13514,(cad.tranç.32fu.2fios pol./espula bicolor redondo c/ench.),,27/02/2024,,,PAR,100cm,"1,1",,"1,07",,,,,,,,,,
M13552,(cad.tranç.32fu.redondo bicolor c/ench.4mm),,01/09/2022,,,PAR,100cm,"1,24",,"1,20",,,,,,,,,,
M13557,(cad.tranç.32fu.pol.pont.lisa 7mm c/ench.),,01/09/2022,,,PAR,100cm,"1,09",,"1,06",,,,,,,,,,
M13557,(cad.tranç.32fu.pol.pont.personal.7mm c/ench),,01/09/2022,,,PAR,100cm,"1,52",,"1,48",,,,,,,,,,
M13583,(cad.tranç.32fus.pol. Bicolor 3fios espula),,31/03/2022,,,PAR,100cm,"1,78",,"1,73",,,,,,,,,,
M13597,(cad.tranç.32fu.pol.bicolor 6mm Oakley),,11/01/2023,,,PAR,100cm,"0,81",,,,,,,,,,,,
M13641,(cad.tranç.32fus.pol.cores 2fios espula),,01/04/2022,,,PAR,100cm,"0,92",,"0,89",,,,,,,,,,
M13647,(cad.tranç.32fu.pol. Bicolor c/detalhe),,23/02/2022,,,PAR,100cm,"1,58",,"1,53",,,,,,,,,,
M13655,"(cad.tranç.32fus.pol.c/um fio reflet.0,5mm)",,01/09/2022,,,PAR,100cm,"1,90",,"1,85",,,,,,,,,,
M13695,(cad.tranç.32fu.po.bicolor 2fios p/esp.),,19/11/2021,,,PAR,100cm,"0,82",,"0,80",,,,,,,,,,
M13698,"(cad.tranç.32f.pol.redon.c/um fio refle.0,5mm)",,27/06/2022,,,PAR,100cm,"2,3",,"2,24",,,,,,,,,,
M13705,(cad.tranç.32fu.pol.redon.c/ench.2fios p/esp.,,23/03/2022,,,PAR,100cm,"1,68",,"1,63",,,,,,,,,,
M13736,(cad.tranç.32fu.pol.c/reflerivo),,27/06/2023,,,PAR,100cm,"1,78",,,,,,,,,,,,
M13738,(cad.tranç.32fu.pol.3fios p/espula),,04/08/2023,,,PAR,100cm,"1,38",,,,,,,,,,,,
M15033,(cad.tranç.48fus.pol.),,01/09/2022,,,PAR,100cm,"1,43",,"1,39",,,,,,,,,,
M15033,(desconto p/março 2024) (cad.tranç.48fus.pol.),,06/03/2024,,(desconto p/março 2024),PAR,100cm,"1,36",,,,,,,,,,,,
M15033,(cad.tranç.48fus.pol.bco/preto),,01/09/2022,,,PAR,100cm,"1,60",,"1,55",,,,,,,,,,
M15033,(desconto p/março 2024) (cad.tranç.48fus.pol. Cores) (cad.tranç.48fus.pol.bco/preto),,06/03/2024,,(desconto p/março 2024) (cad.tranç.48fus.pol. Cores),PAR,100cm,"1,36",,,,,,,,,,,,
M15051,,,01/09/2022,,,PAR,100cm,"1,34",,"1,30",,,,,,,,,,
M15051,(desconto p/março 2024) (cad.tranç.48fus.pol.preto/branco),,06/03/2024,,(desconto p/março 2024) (cad.tranç.48fus.pol.preto/branco),PAR,100cm,"1,24",,,,,,,,,,,,
M15051P,,,01/09/2022,,,PAR,100cm,"1,52",,"1,47",,,,,,,,,,
M15051P,(cad.tranç.48fu.pol.cru sublimado dois lados),,07/04/2022,,(cad.tranç.48fu.pol.cru sublimado dois lados),PAR,100cm,"1,88",,,,,,,,,,,,
M15051/P,(cad.tranç.48fu.pol.cru sublimado dois lados),,07/04/2022,,(cad.tranç.48fu.pol.cru sublimado dois lados),PAR,100cm,"1,88",,,,,,,,,,,,
M15051/P,,,01/09/2022,,,PAR,100cm,"1,52",,"1,47",,,,,,,,,,
M15055,(cad.tranç.48f. Pol cores diversas),,01/09/2022,,(cad.tranç.48f. Pol cores diversas),PAR,100cm,"1,32",,"1,28",,,,,,,,,,
M15055P,(cad.tranç.48fu.pol. Preto/branco),,01/09/2022,,(cad.tranç.48fu.pol. Preto/branco),PAR,100cm,"1,42",,"1,38",,,,,,,,,,
M15055/P,(cad.tranç.48fu.pol. Preto/branco),,01/09/2022,,(cad.tranç.48fu.pol. Preto/branco),PAR,100cm,"1,42",,"1,38",,,,,,,,,,
M15095,(cad.tranç.48fu.pol. 10mm),,15/02/2022,,,PAR,100cm,"1,56",,"1,51",,,,,,,,,,
M15095,(desconto p/março 2024) (cad.tranç.48fu.pol. 10mm),,06/03/2024,,(desconto p/março 2024),PAR,100cm,"1,40",,,,,,,,,,,,
M15097,(cad.tranç.48f.pol.10mm desenho X Puma),,11/03/2022,,,PAR,100cm,"1,62",,"1,57",,,,,,,,,,
M15097,(desconto p/março 2024) (cad.tranç.48f.pol.10mm desenho X Puma),,06/03/2024,,(desconto p/março 2024),PAR,100cm,"1,46",,,,,,,,,,,,
M15099,(cad.tranç.48fu 3e4fios pol. p/espula 18mm Mormaii),,22/05/2024,,,PAR,100cm,"2,90",,,,,,,,,,,,
M15099,(com desconto concedido 11/04/2025) (cad.tranç.48fu 3e4fios pol. p/espula 18mm Mormaii),,11/04/2025,,(com desconto concedido 11/04/2025),PAR,100cm,"2,5",,,,,,,,,,,,
M15099,(cad.tranç.48f.pol.4fios p/espula c/pont.personalizada),,22/05/2024,,,PAR,100cm,"3,05",,,,,,,,,,,,
M15100,(cad.tranç.48f.pol.18mm cores PUMA),,28/02/2023,,,PAR,100cm,"2,44",,"2,37",,,,,,,,,,
M15102,(cad.tranç.48fu. 2 e 1fios p/esp.poliéster 8MM Lacoste),,22/11/2024,,,PAR,100cm,"0,96",,,,,,,,,,,,
M15105,(cad.tranç.48fu.pol.c/detalhe M15051),,11/04/2023,,,PAR,100cm,"1,37",,,,,,,,,,,,
M15111,(Cad.tranç.48fu.4fios pol. p/espula Puma),,08/01/2025,,,PAR,100cm,"2,04",,,,,,,,,,,,
