Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22
M4139(fita tear fio helanca cores),,,25/01/2023,,,metro,15 MM,"1,02",,,,,,,
M4139(fita tear fio helanca cores),,,15/10/2024,,,metro,18 MM,"1,32",,,,,,,
,,,,,,,,,,,,,,,
M4140(fita tear pol.bic.c/reflet.aplic.3mm),,,19/10/2019,,,metro,10 MM,"3,28",,,,,,,
M4140(fita tear pol.bic.c/reflet.aplic.3mm),(com desconto concedido 26/02/2025),,26/02/2025,,,metro,10 MM,"2,78",,,,,,,
,,,,,,,,,,,,,,,
M4068(fita tear pol.cores New Balance),,,29/02/2024,,,metro,15 MM,,,,,,"0,85","0,82",
M4068(fita tear pol.cores New Balance),,,01/11/2022,,,metro,15 MM,"0,85","0,82","0,82",,,,,
,,,,,,,,,,,,,,,
M41545(fita tear Fio polimp cores New Balance),,,14/03/2024,,,metro,18 MM,"1,08","1,05","1,05",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M5124(fita tear pol.cores),,,10/02/2021,,,metro,15 MM,"1,68",,,,,,,
M5124(fita tear pol.cores),,,25/01/2023,,,metro,20 MM,"2,40","2,33","2,33",,,,,
,,,,,,,,,,,,,,,
M5124(fita tear pol. c/sublimação),,,10/06/2021,,,metro,20 MM,"3,28",,,,,,,
,,,,,,,,,,,,,,,
M5021,,,12/01/2022,,,metro,7 MM,"0,47","0,46","0,46",,,"0,51","0,49",
M5021,,,01/11/2022,,,metro,7 MM,"0,51","0,49","0,49",,,,,
,,,,,,,,,,,,,,,
M5187(fita tear polimp cores calandrado),,,08/04/2022,,,metro,45 MM,"2,60","2,52","2,52",,,,,
,,,,,,,,,,,,,,,
M5187(fita teart Polimp c/goma pré-encolhimento),,,08/04/2022,,,metro,45 MM,"3,38","3,28","3,28",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
J31081(fita tear jacar 72 fios pol. c/goma FILA),,,28/05/2026,,,metro,15 MM,,,,,,"1,15",,
,,,,,,,,,,,,,,,
J31103(fita jacquar quadr. Pol. c/refletivo),,,08/06/2021,,,metro,15 MM,"2,48",,,,,"2,6",,
M31105(fita tear pol.bicolor c/frizo central FILA),,,01/11/2022,,,metro,12 MM,"1,09","1,06","1,06",,,,,
M31105(fita tear pol.bicolor c/frizo central FILA),,,07/07/2023,,,metro,12 MM,,,,,,"1,09","1,06",
,,,,,,,,,,,,,,,
M31105(fita tear pol.bicolor c/frizo central FILA),,,01/11/2022,,,metro,12 MM,"1,09","1,06","1,06",,,,,
,,,,,,,,,,,,,,,
J31112(fita jacquar escr.FILA),,,01/03/2021,,,metro,22 MM,"1,94",,,,,"2,04",,
,,,,,,,,,,,,,,,
J31124(fita tear jacquar 120fios pol. c/goma calandrada),,,26/02/2024,,,metro,15 MM,,,,,,"1,6","1,56",
J31124(fita tear jacquar 120fios pol. c/goma calandrada),,,01/11/2022,,,metro,15 MM,"1,60","1,56","1,56",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
J31131(cad.jacard pol.pontilhado 6mm),,,01/05/2022,,,PARES,100 CM,"0,98","0,95","0,95",,,,,
,,,,,,,,,,,,,,,
J31134(cad.jacard polimp desen.quadric.10mm),,,03/03/2022,,,PARES,100 CM,"1,56",,,,,,,
,,,,,,,,,,,,,,,
J31169(fita tear Jacard 70fios pol.c/det.pontilhado New Balance),,,21/01/2025,,,metro,12 MM,,,,,,"0,78",,
J31172(fita tear Jacard 72fios pol.c/ 1 fio nylon 015 trama Fila),,,01/11/2022,,,metro,10 MM,"0,98","0,95","0,95",,,,,
J31169(Fita tear Jacard 70fios pol.c/det.pont.New Balance c/goma),,,21/01/2025,,,metro,12 MM,,,,,,"0,9",,
,,,,,,,,,,,,,,,
,,,1/11/2022,,,metro,15 MM,"1,48","1,44","1,44",,,"0,98","0,95",
,,,1/11/2022,,,metro,15 MM,"0,98","0,95","0,95",,,,,
,,,29/10/2025,,,metro,12 MM,,,,,,"1,18","1,15",
,,,1/11/2022,,,metro,12 MM,"1,18","1,15","1,15",,,,,
,,,29/10/2025,,,metro,15 MM,,,,,,"1,48","1,44",
,,,1/11/2022,,,metro,15 MM,"1,48","1,44","1,44",,,,,
,,,,,,,,,,,,,,,
J31173(Fita jacard 140fios pol. Des.quadriculado Fila),,,07/11/2024,,,metro,12 MM,,,,,,"1,24",,
,,,,,,,,,,,,,,,
J31177(fita tear Varetex 106fios Poliéster Fila),,,01/11/2022,,,metro,12 MM,"0,98","0,95","0,95",,,"0,84",,
,,,07/11/2024,,,metro,12 MM,,,,,,"1,21",,
,,,,,,,,,,,,,,,
J31175(fita jacard 60fios pol.c/5fios refle.1mm c/goma New Balance),,,28/01/2025,,,metro,12 MM,,,,,,"4,86",,
,,,,,,,,,,,,,,,
J31177(fita tear Varetex 106fios Poliéster Fila),,,28/02/2025,,,metro,12 MM,,,,,,"0,98","0,95",
J31177(fita tear Varetex 106fios Poliéster Fila),,,01/11/2022,,,metro,12 MM,"0,98","0,95","0,95",,,,,
