Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22
M13795(cad.tranç.32fu.1fio pol.brilh.p/espula FILA AREZZO),,,01/11/2022,,,PARES,100 CM,"1,03","1,00","1,00",,,,,
,,,,,,,,,,,,,,,
M60127(cad.tranç.48fu.2fios 30/2 pol.fiado p/espul.8mm New Balanc.),,,01/11/2022,,,PARES,100 CM,"1,42","1,38","1,38",,,"3,86",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M60109(cad.tranç.48fu.fio 30/2 fiado pol.8mm New Balance),,,17/05/2023,,,PARES,100 CM,,,,,,"1,32","1,28",
,,,,,,,,,,,,,,,
M60109(cad.tranç.48fu.fio 30/2 fiado pol.8mm New Balance),,,01/11/2022,,,PARES,100 CM,"1,32","1,28","1,28",,,,,
M60123(cad.tranç.48fu.2 e 3fios 30/2fiado 10mm New B. normal),,,17/09/2024,,,PARES,100 CM,,,,,,"1,88","1,82",
,,,,,,,,,,,,,,,
M60123(cad.tranç.48fu.2 e 3fios 30/2fiado 10mm New B. normal),,,01/11/2022,,,PARES,100 CM,"1,88","1,82","1,82",,,,,
M15033 8mm(cad.tranç.48fu.pol.cores),,,01/11/2022,,,PARES,100 CM,"1,33","1,29","1,29",,,"2,16","2,1",
,,,,,,,,,,,,,,,
M15033 8mm(cad.tranç.48fu.pol.cores),,,01/11/2022,,,PARES,100 CM,"2,16","2,10","2,10",,,,,
M60126(cad.tranç.48fu.2fios 30/2fiado p/esp. 6mm Adidas),,,02/12/2024,,,PARES,100 CM,,,,,,"1,18","1,15",
M15041(cad.tranç.48fu.pol.cores pont.transparente),,,01/11/2022,,,PARES,100 CM,"1,30","1,26","1,26",,,"1,12","1,09",
M60126(cad.tranç.48fu.2fios 30/2fiado p/esp. 6mm Adidas),,,01/11/2022,,,PARES,100 CM,"1,18","1,15","1,15",,,,,
,,,,,,,,,,,,,,,
M15041(cad.tranç.48fu.pol.cores pont.transparente),,,01/11/2022,,,PARES,100 CM,"1,12","1,09","1,09",,,,,
M60127(cad.tranç.48fu.2fios 30/2 pol.fiado p/espul.8mm New Balanc.),,,09/12/2024,,,PARES,100 CM,,,,,,"1,42","1,38",
,,,,,,,,,,,,,,,
M60127(cad.tranç.48fu.2fios 30/2 pol.fiado p/espul.8mm New Balanc.),,,01/11/2022,,,PARES,100 CM,"1,42","1,38","1,38",,,,,
M60128(cad.tranç.48fu.2fios p/esp.30/2 fiado 8mm New Balance),,,20/01/2025,,,PARES,100 CM,,,,,,"1,42","1,38",
,,,,,,,,,,,,,,,
M60128(cad.tranç.48fu.2fios p/esp.30/2 fiado 8mm New Balance),,,01/11/2022,,,PARES,100 CM,"1,42","1,38","1,38",,,,,
M15097(cad.tranç.48fu.2fios p/esp.30/2 10mm New Balance),,,01/11/2022,,,PARES,100 CM,"1,37","1,33","1,33",,,"0,82","0,8",
,,,,,,,,,,,,,,,
M15097(cad.tranç.48fu.2fios p/esp.30/2 10mm New Balance),,,01/11/2022,,,PARES,100 CM,"0,82","0,80","0,80",,,,,
M15101(cad.tranç.48fu.pol. Cores 8mm New Balance),,,01/11/2022,,,PARES,100 CM,"1,42","1,38","1,38",,,,,
,,,,,,,,,,,,,,,
M15033 8mm(cad.tranç.48fu.pol.cores),,,01/03/2021,,,PARES,100 CM,"1,33","1,29","1,29",,,,,
M15103(cad.tranç.48fu.pol. 4fios p/espula 16mm Fila),,,01/11/2022,,,PARES,100 CM,"2,68","2,60","2,60",,,,,
,,,,,,,,,,,,,,,
M15107(cad.tranç.48fu.pol.cores 2x2 7mm New Balance),,,01/11/2022,,,PARES,100 CM,"1,26","1,22","1,22",,,,,
,,,,,,,,,,,,,,,
M15041(cad.tranç.48fu.pol.cores pont.transparente),,,24/05/2022,,,PARES,100 CM,"1,30","1,26","1,26",,,,,
,,,,,,,,,,,,,,,
M15070 5mm(tranç.48fu.Reflexx),,,12/01/2022,,,PARES,100 CM,"0,86","0,83","0,83",,,,,
,,,,,,,,,,,,,,,
M15097(cad.tranç.48fu.2fios p/esp.30/2 10mm New Balance),,,07/04/2025,,,PARES,100 CM,"1,37","1,33","1,33",,,,,
,,,,,,,,,,,,,,,
M16084(cad.tranç.16fu.pol.bicolor 3fios p/esp.),,,01/11/2022,,,PARES,100 CM,"1,16","1,13","1,13",,,,,
M15101(cad.tranç.48fu.pol. Cores 8mm New Balance),(desconto concedido 23/05/2023),,23/05/2023,,,PARES,100 CM,"1,20","1,16","1,16",,,,,
M16217(cad.tranç.roletex fio pol. Dass Saudades),,,01/11/2022,,,PEÇAS,100 CM,"0,39",,,,,,,
M15103(cad.tranç.48fu.pol. 4fios p/espula 16mm Fila),,,31/03/2023,,,PARES,100 CM,"2,68","2,60","2,60",,,,,
M16228(cad.tranç.17fus.pol.16mm Fila prod.somente Rebona),,,01/11/2022,,,PEÇAS,100 CM,"1,58",,,,,,,
M15107(cad.tranç.48fu.pol.cores 2x2 7mm New Balance),,,11/07/2023,,,PARES,100 CM,"1,26","1,22","1,22",,,,,
,,,,,,,,,,,,,,,
M15120(cad.tranç.48fu.2fios pol.p/espula 8mm New Balance),,,01/10/2025,,,PARES,100 CM,"0,94","0,91","0,91",,,,,
,,,,,,,,,,,,,,,
M16240(cad.tranç.17fu.6fios pol.p/espula multicores FILA),,,01/11/2022,,,PARES,100 CM,"1,35",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M16238(cad.tranç.16fu.3fios pol.p/espula bicolor Fila igual3000/6),,,01/11/2022,,,PARES,100 CM,"0,98","0,95","0,95",,,,,
M16084(cad.tranç.16fu.pol.bicolor 3fios p/esp.),,,07/11/2023,,,PARES,100 CM,"1,16","1,13","1,13",,,,,
,,,,,,,,,,,,,,,
M16217(cad.tranç.roletex fio pol. Dass Saudades),,,09/01/2023,,,PEÇAS,100 CM,"0,39",,,,,,,
M16241(cad.tranç.16fu.3fios p/esp. 4mm bicolor Adidas),,,01/11/2022,,,PARES,100 CM,"1,28","1,24","1,24",,,,,
M16245(cad.tranç.16fu.2fios p/esp.bicolor Asics),,,01/11/2022,,,PARES,100 CM,"1,08","1,05","1,05",,,,,
M16228(cad.tranç.17fus.pol.16mm Fila prod.somente Rebona),,,18/05/2023,,,PEÇAS,100 CM,"1,58",,,,,,,
M16245(cad.tranç.16fu.2fios p/esp.bicolor Asics),,,01/11/2022,,,metro,,"0,53","0,51","0,51",,,,,
M16249(cad.tranç.16fu.3fios pol.p/esp. Redondo c/ench.),,,01/11/2022,,,PARES,100 CM,"1,16","1,13","1,13",,,,,
M16245(cad.tranç.16fu.2fios p/esp.bicolor Asics),,,01/11/2022,,,PARES,100 CM,"1,08","1,05","1,05",,,,,
M16238(cad.tranç.16fu.3fios pol.p/espula bicolor Fila igual3000/6),,,25/04/2024,,,PARES,100 CM,,,,,,"0,98","0,95",
M16252(cad.tranç.17fu. 3fos por espula 8mm New Balance),,,01/11/2022,,,,,"1,19",,,,,,,
M16249(cad.tranç.16fu.3fios pol.p/esp. Redondo c/ench.),,,01/11/2022,,,PARES,100 CM,"1,16","1,13","1,13",,,,,
M16240(cad.tranç.17fu.6fios pol.p/espula multicores FILA),,,13/05/2024,,,PARES,100 CM,,,,,,"1,35",,
M16257(cad.tranç.16fus.3fios pol.atoalhada p/esp.red.s/ench.Fila),,,01/11/2022,,,PARES,100 CM,"1,78","1,73","1,73",,,,,
M16241(cad.tranç.16fu.3fios p/esp. 4mm bicolor Adidas),,,25/11/2024,,,PARES,100 CM,,,,,,"1,28","1,24",
,,,,,,,,,,,,,,,
M16257(cad.tranç.16fus.3fios pol.atoalhada p/esp.red.s/ench.Fila),,,01/11/2022,,,PARES,100 CM,"1,78","1,73","1,73",,,,,
M16245(cad.tranç.16fu.2fios p/esp.bicolor Asics),,,26/11/2024,,,metro,,,,,,,"0,53","0,51",
M16245(cad.tranç.16fu.2fios p/esp.bicolor Asics),,,26/11/2024,,,PARES,100 CM,,,,,,"1,08","1,05",
,,,,,,,,,,,,,,,
M16249(cad.tranç.16fu.3fios pol.p/esp. Redondo c/ench.),,,19/02/2025,,,PARES,100 CM,,,,,,"1,16","1,13",
,,,,,,,,,,,,,,,
M16252(cad.tranç.17fu. 3fos por espula 8mm New Balance),,,29/04/2026,,,,,,,,,,"1,19",,
M18006(cad.tranç.32fu.pol.cores Asics),,,01/11/2022,,,PARES,100 CM,"1,32","1,28","1,28",,,,,
M16257(cad.tranç.16fus.3fios pol.atoalhada p/esp.red.s/ench.Fila),,,21/11/2025,,,PARES,100 CM,,,,,,"1,78","1,73",
M18006(cad.tranç.32fu.pol.cores Asics),,,01/11/2022,,,PARES,100 CM,"1,28","1,24","1,24",,,,,
,,,,,,,,,,,,,,,
M18006(cad.tranç.32fu.pol.cores Asics),,,14/04/2023,,,PARES,100 CM,"1,32","1,28","1,28",,,,,
M18006(cad.tranç.32fu.pol.cores Asics),,,01/11/2022,,,PARES,100 CM,"1,12","1,10","1,10",,,,,
M18006(cad.tranç.32fu.pol.cores Asics),(desconto concedido 11/03/2025),,11/03/2025,,,PARES,100 CM,"1,12","1,10","1,10",,,,,
,,,,,,,,,,,,,,,
M18011(cad.tranç.32fu.pol.cores),,,01/03/2021,,,PARES,100 CM,"0,84","0,82","0,82",,,,,
,,,,,,,,,,,,,,,
M18011(cad.tranç.32fu.pol.cores),,,01/11/2022,,,PARES,100 CM,"0,84","0,82","0,82",,,,,
M1308(cad.tear poliéster sublimado dois lados 8mm FILA),,,22/04/2026,,,PARES,100 CM,"1,06",,,,,,,
,,,,,,,,,,,,,,,
M1308(cad.tear poliéster sublimado dois lados 8mm FILA),,,01/11/2022,,,PARES,100 CM,"1,06",,,,,,,
M10046,,,12/01/2022,,,PARES,100 CM,"0,76","0,74","0,74",,,"0,86","0,83",
M10046,,,01/11/2022,,,PARES,100 CM,"0,86","0,83","0,83",,,,,
,,,,,,,,,,,,,,,
M10110,,,12/01/2022,,,PARES,100 CM,"0,55","0,53","0,53",,,"0,62","0,6",
M10110,,,01/11/2022,,,PARES,100 CM,"0,62","0,60","0,60",,,,,
,,,,,,,,,,,,,,,
M10111,,,12/01/2022,,,PARES,100 CM,"0,55","0,53","0,53",,,"0,62","0,6",
M10111,,,01/11/2022,,,PARES,100 CM,"0,62","0,60","0,60",,,,,
,,,,,,,,,,,,,,,
M10123(cad.tear pol.tub.bicolor 4mm),,,01/03/2021,,,PARES,100 CM,"0,52","0,51","0,51",,,,,
,,,,,,,,,,,,,,,
M10147(cad.tear 58fios Polimp c/ench. 6mm Adidas),,,14/08/2025,,,PARES,100 CM,,,,,,"1,06","1,03",
M10147(cad.tear 58fios Polimp c/ench. 6mm Adidas),,,01/11/2022,,,PARES,100 CM,"1,06","1,03","1,03",,,,,
,,,,,,,,,,,,,,,
M10148(cad.tear 92fios polimp tingido meadas c/30fios polimp 6mm ADIDAS),,,22/05/2026,,,PARES,100 CM,,,,,,"1,1","1,07",
M10148(cad.tear 92fios polimp tingido meadas c/30fios polimp 6mm ADIDAS),,,01/11/2022,,,PARES,100 CM,"1,10","1,07","1,07",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M10110,,,01/11/2022,,,PARES,100 CM,"0,55","0,53","0,53",,,,,
M12109 6mm(cad.tear REFLEXX),,,12/01/2022,,,PARES,100 CM,"0,88","0,85","0,85",,,,,
,,,,,,,,,,,,,,,
M10111,,,01/11/2022,,,PARES,100 CM,"0,55","0,53","0,53",,,,,
M12109 8mm(cad.tear REFLEXX),(desconto concedido 03/04/2024),,03/04/2024,,,PARES,100 CM,"0,95","0,92","0,92",,,,,
,,,,,,,,,,,,,,,
M12109(cad.tear poliéster normal 8mm),,,12/01/2022,,,PARES,100 CM,"0,94","0,91","0,91",,,,,
,,,,,,,,,,,,,,,
M10123(cad.tear pol.tub.bicolor 4mm),,,01/11/2022,,,PARES,100 CM,"0,52","0,51","0,51",,,,,
,,,,,,,,,,,,,,,
M12126(cad.tear pol.6mm acetato colorido),,,11/05/2022,,,PARES,100 CM,"1,26","1,22","1,22",,,,,
,,,,,,,,,,,,,,,
M10147(cad.tear 58fios Polimp c/ench. 6mm Adidas),,,1/11/2022,,,PARES,100 CM,"1,06","1,03","1,03",,,"0,69","0,67",
M10147(cad.tear 58fios Polimp c/ench. 6mm Adidas),,,1/11/2022,,,PARES,100 CM,"0,69","0,67","0,67",,,,,
,,,,,,,,,,,,,,,
M12183(cad. Tear 72fios pol.reflexx 6mm Adidas),,,26/08/2025,,,PARES,100 CM,,,,,,"0,8","0,78",
M12183(cad. Tear 72fios pol.reflexx 6mm Adidas),,,01/11/2022,,,PARES,100 CM,"0,80","0,78","0,78",,,,,
M10148(cad.tear 92fios polimp tingido meadas c/30fios polimp 6mm ADIDAS),,,01/11/2022,,,PARES,100 CM,"1,10","1,07","1,07",,,,,
M12191(cad.tear 96 fios pol. Sarjado 7mm Osklen),,,07/04/2026,,,PARES,100 CM,,,,,,"1,26","1,22",
M12191(cad.tear 96 fios pol. Sarjado 7mm Osklen),,,01/11/2022,,,PARES,100 CM,"1,26","1,22","1,22",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M12109 6mm(cad.tear REFLEXX),,,01/11/2022,,,PARES,100 CM,"0,88","0,85","0,85",,,,,
M15118(cad.tranç.48fu. 2fios pol.p/espula 8mm bicolor UMBRO),,,15/07/2025,,,PARES,100 CM,,,,,,"1,24","1,2",
M15118(cad.tranç.48fu. 2fios pol.p/espula 8mm bicolor UMBRO),,,01/11/2022,,,PARES,100 CM,"1,24","1,20","1,20",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M21020 6mm(cad.tear reflexx/Polimp),,,12/01/2022,,,PARES,100 CM,"0,58","0,56","0,56",,,"0,68","0,66",
M21020 6mm(cad.tear reflexx/Polimp),,,01/11/2022,,,PARES,100 CM,"0,68","0,66","0,66",,,,,
M12109 8mm(cad.tear REFLEXX),,,01/11/2022,,,PARES,100 CM,"0,96","0,93","0,93",,,,,
M21020(cad.tear fio reflexx 6mm New Balance),,,01/04/2022,,,PARES,100 CM,"0,84","0,82","0,82",,,,,
M12109 8mm(cad.tear REFLEXX),,,01/11/2022,,,PARES,100 CM,"0,95","0,92","0,92",,,,,
M21020(cad.tear fio Relfexx 8mm),,,12/01/2022,,,PARES,100 CM,"0,68","0,66","0,66",,,"0,78","0,76",
M21020(cad.tear fio Relfexx 8mm),,,01/11/2022,,,PARES,100 CM,"0,78","0,76","0,76",,,,,
M12109(cad.tear poliéster normal 8mm),,,01/11/2022,,,PARES,100 CM,"0,94","0,91","0,91",,,,,
M21042 cad.helanca pontilhado,,,01/03/2021,,,PARES,100 CM,"1,12","1,09","1,09",,,,,
,,,,,,,,,,,,,,,
M21056(cad.tear 72fios helanca cores 6mm Fila),,,08/11/2024,,,PARES,100 CM,,,,,,"1,16","1,13",
M21056(cad.tear 72fios helanca cores 6mm Fila),,,01/11/2022,,,PARES,100 CM,"1,16","1,13","1,13",,,,,
M12125 6mm(cad.tear poliéster),,,01/11/2022,,,PARES,100 CM,"0,80","0,78","0,78",,,,,
,,,,,,,,,,,,,,,
M12126(cad.tear pol.6mm acetato colorido),,,01/11/2022,,,PARES,100 CM,"1,26","1,22","1,22",,,,,
,,,05/09/2022,,,PARES,100 CM,"1,02","0,99","0,99",,,,,
,,,,,,,,,,,,,,,
M12176(cad.tear 48fios pol. 5mm tubular sarjado s/ench.Nike),,,01/11/2022,,,PARES,100 CM,"0,69","0,67","0,67",,,"0,81","0,79",
M12176(cad.tear 48fios pol. 5mm tubular sarjado s/ench.Nike),,,01/11/2022,,,PARES,100 CM,"0,81","0,79","0,79",,,,,
M22031 cad. Fio reflexx,(desconto concedido 03/04/2024),,03/04/2024,,,PARES,100 CM,,,,,,"0,8","0,78",
M22031 cad. Fio reflexx,,,01/11/2022,,,PARES,100 CM,"0,80","0,78","0,78",,,,,
,,,,,,,,,,,,,,,
M12183(cad. Tear 72fios pol.reflexx 6mm Adidas),,,01/11/2022,,,PARES,100 CM,"0,80","0,78","0,78",,,"1,42","1,38",
M12183(cad. Tear 72fios pol.reflexx 6mm Adidas),,,01/11/2022,,,PARES,100 CM,"1,42","1,38","1,38",,,,,
M22034 cad. Helanca c/4 pontilh.,(ajustar preço a partir de 05/2022),,01/05/2022,,,PARES,100 CM,"1,42","1,38","1,38",,,,,
M12191(cad.tear 96 fios pol. Sarjado 7mm Osklen),,,01/11/2022,,,PARES,100 CM,"1,26","1,22","1,22",,,,,
,,,,,,,,,,,,,,,
M22037(cad.tear reflexx tub.c/detalhe),,,12/01/2022,,,PARES,100 CM,"0,70","0,68","0,68",,,"0,78","0,76",
M22037(cad.tear reflexx tub.c/detalhe),,,01/11/2022,,,PARES,100 CM,"0,78","0,76","0,76",,,,,
M22037(cad.tear reflexx tub.c/detalhe),(desconto concedido 03/04/2024),,03/04/2024,,,PARES,100 CM,,,,,,"0,77","0,75",
M22037(cad.tear reflexx tub.c/detalhe),,,01/11/2022,,,PARES,100 CM,"0,77","0,75","0,75",,,,,
M21020 6mm(cad.tear reflexx/Polimp),,,01/11/2022,,,PARES,100 CM,"0,58","0,56","0,56",,,,,
M22043(cad.tear fio helanca 6mm pontilh.),,,01/11/2021,,,PARES,100 CM,"1,55","1,50","1,50",,,"1,68","1,63",
M22043(cad.tear fio helanca 6mm pontilh.),,,01/11/2022,,,PARES,100 CM,"1,68","1,63","1,63",,,,,
M21020(cad.tear fio reflexx 6mm New Balance),,,01/11/2022,,,PARES,100 CM,"0,84","0,82","0,82",,,,,
"M22053(cad.tear REFLEXX tubul.c/4 fios reflet.0,5mm)",,,05/07/2022,,,PARES,100 CM,"4,52","4,40","4,40",,,,,
,,,,,,,,,,,,,,,
M21020(cad.tear fio Relfexx 8mm),,,01/11/2022,,,PARES,100 CM,"0,68","0,66","0,66",,,"0,72","0,7",
M21020(cad.tear fio Relfexx 8mm),,,01/11/2022,,,PARES,100 CM,"0,72","0,70","0,70",,,,,
,,,,,,,,,,,,,,,
M21042 cad.helanca pontilhado,,,01/11/2022,,,PARES,100 CM,"1,12","1,09","1,09",,,"0,78","0,76",
M21042 cad.helanca pontilhado,,,01/11/2022,,,PARES,100 CM,"0,78","0,76","0,76",,,,,
,,,,,,,,,,,,,,,
M22066(cad.tear pol.80fios tubular bicolor Osklen 8mm),,,13/12/2023,,,PARES,100 CM,,,,,,"1,04","1,01",
M22066(cad.tear pol.80fios tubular bicolor Osklen 8mm),,,1/11/2022,,,PARES,100 CM,"1,04","1,01","1,01",,,,,
,,,,,,,,,,,,,,,
M22069(cad.tear 56fios reflexx tubular s/ench. Pont. 6mm Asics),,,25/06/2024,,,PARES,100 CM,,,,,,"0,9","0,88",
M22069(cad.tear 56fios reflexx tubular s/ench. Pont. 6mm Asics),,,01/11/2022,,,PARES,100 CM,"0,90","0,88","0,88",,,,,
,,,,,,,,,,,,,,,
M22073(cad.tear 72fios pol. c/tramador duplo Nike),,,25/06/2025,,,PARES,100 CM,,,,,,"0,98",,
,,,,,,,,,,,,,,,
M22073(cad.tear 72fios pol.c/tramador duplo bco sacos separ.Nike),,,25/06/2025,,,PARES,100 CM,,,,,,"1,01",,
,,,,,,,,,,,,,,,
M22074(cad.tear 64 fios POLIMP ting.meadas tubular s/ench.6mm Adidas),,,16/07/2025,,,PARES,100 CM,,,,,,"0,76","0,74",
M22074(cad.tear 64 fios POLIMP ting.meadas tubular s/ench.6mm Adidas),,,01/11/2022,,,PARES,100 CM,"0,76","0,74","0,74",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M29045(cad. Tranç.retorcedeira 60fios pol. Adidas),,,18/06/2025,,,PARES,100 CM,,,,,,"2,3",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Dunas Fila(cad.tear jacquar FILA 8mm),,,08/11/2020,,,PARES,100 CM,"1,38",,,,,,,
,,,,,,,,,,,,,,,
J31165(cad.tear pol.tubular desenho V Fila 6mm),,,13/12/2023,,,PARES,100 CM,,,,,,"1,46","1,42",
J31165(cad.tear pol.tubular desenho V Fila 6mm),,,1/11/2022,,,PARES,100 CM,"1,46","1,42","1,42",,,,,
,,,,,,,,,,,,,,,
,,,,,,PARES,100 CM,,,,,,,,
